PDB,Epoch,Step,Pout,Model
10.0,0,0,[ 2.4197316  5.8551083 14.167791  34.28226   82.95391  ],HARQ
10.0,0,0,[2.4197316e+00 3.1386234e+01 3.1447693e+02 2.4725818e+03 1.5914454e+04],HARQ
25.118862,0,0,[ 1.8551593  3.8660963  7.382285  13.533195  24.526464 ],HARQ
39.81072,0,0,[1.5085132 2.2738314 3.4297743 5.1743336 7.8060007],HARQ
15.848933,0,0,[ 2.1461327  4.6058874  9.884845  21.214201  45.528507 ],HARQ
10.0,0,0,[2.4197316e+00 2.8373528e+01 2.5783627e+02 1.8465419e+03 1.0874589e+04],HARQ
63.095726,0,0,[1.1040256 2.2085328 3.4488416 4.4378147 4.9723463],HARQ
25.118862,0,0,[ 1.855159   3.4415898  6.384702  11.844645  21.97371  ],HARQ
15.848933,0,0,[ 2.1461327  4.605956   9.885082  21.214796  45.52986  ],HARQ
25.118862,0,0,[ 1.8551593  3.4413378  6.384292  11.844022  21.972647 ],HARQ
15.848933,0,0,[ 2.1461322  4.6063247  9.8861    21.217415  45.535866 ],HARQ
15.848933,0,0,[ 2.146133   6.1391196 15.274136  34.595036  74.247955 ],HARQ
100.0,0,0,[0.7524558  0.56875867 0.41649583 0.30624372 0.22798048],HARQ
10.0,0,0,[ 2.419732  5.85547  14.168817 34.284855 82.96024 ],HARQ
251.1887,0,0,[0.32088938 0.10295447 0.03303695 0.01060124 0.00340183],HARQ
25.118862,0,0,[ 1.855159  3.44163   6.384241 11.845774 21.978579],HARQ
251.1887,0,0,[0.32088935 0.10295586 0.03303743 0.01060138 0.00340187],HARQ
25.118862,0,0,[ 1.855159   3.4436457  6.386478  11.851132  21.992252 ],HARQ
100.0,0,0,[0.7524558  0.73535526 0.5962266  0.42816892 0.2870509 ],HARQ
63.095726,0,0,[1.1040256 1.2184807 1.345227  1.4851817 1.6396867],HARQ
251.1887,0,0,[0.32088935 0.10286123 0.03300496 0.01059134 0.00339871],HARQ
63.095726,0,0,[1.1040256 1.2188476 1.3456397 1.4856212 1.6401649],HARQ
158.48933,0,0,[0.49586263 0.2506095  0.11945763 0.0565098  0.02709108],HARQ
10.0,0,0,[ 2.4197316  5.8638487 14.192154  34.34648   83.11651  ],HARQ
10.0,0,0,[ 2.4197316  5.8716226 14.213356  34.402153  83.25983  ],HARQ
39.81072,0,0,[1.5085132 2.284653  3.4261591 5.156026  7.783058 ],HARQ
100.0,0,0,[0.7524558  0.57714957 0.4205054  0.304822   0.2237346 ],HARQ
63.095726,0,0,[1.1040256 1.2187667 1.3455504 1.4855244 1.6400591],HARQ
15.848933,0,0,[ 2.146133  5.183744 11.55861  24.812872 52.646374],HARQ
25.118862,0,0,[ 1.855159  3.441562  6.384656 11.844565 21.973568],HARQ
10.0,0,0,[ 2.4197316  5.855104  14.167786  34.282257  82.953896 ],HARQ
251.1887,0,0,[0.32088938 0.10283638 0.03299591 0.01058856 0.00339785],HARQ
25.118862,0,0,[ 1.855159   3.4517734  6.396979  11.869774  22.035292 ],HARQ
25.118862,0,0,[ 1.8551587  3.4416153  6.384746  11.84472   21.973839 ],HARQ
39.81072,0,0,[  1.5085135   6.767338   22.939272   61.04411   134.33707  ],HARQ
63.095726,0,0,[1.1040257 2.057911  3.0289993 3.7222745 4.0341215],HARQ
10.0,0,0,[  2.4197316  10.225484   36.04075   109.79935   301.79938  ],HARQ
25.118862,0,0,[   1.855159   13.899792   78.79021   347.5688   1252.1868  ],HARQ
10.0,0,0,[ 2.4197316  5.855101  14.167773  34.28221   82.95375  ],HARQ
15.848933,0,0,[   2.1461327   15.506561    86.92253    387.99698   1443.8379   ],HARQ
39.81072,0,0,[1.5085132 2.2741594 3.430419  5.175173  7.8071046],HARQ
15.848933,0,0,[ 2.1461327  4.7446547 10.212617  21.885984  46.97885  ],HARQ
10.0,0,0,[ 2.4197316  5.863623  14.191537  34.344852  83.11233  ],HARQ
158.48933,0,0,[0.49586263 0.24572086 0.12184072 0.06041748 0.02995904],HARQ
251.1887,0,0,[0.32088935 0.14437242 0.0520644  0.01611087 0.00452983],HARQ
10.0,0,0,[ 2.4197316  5.855103  14.167778  34.28222   82.95377  ],HARQ
63.095726,0,0,[1.1040256 1.2523885 1.3518052 1.4494258 1.5693724],HARQ
25.118862,0,0,[ 1.8551593  3.441609   6.3847322 11.844696  21.973795 ],HARQ
25.118862,0,0,[ 1.855159   3.4416122  6.3847394 11.844708  21.973822 ],HARQ
15.848933,0,0,[ 2.146133  4.605949  9.885061 21.214745 45.52973 ],HARQ
251.1887,1,0,[0.2424793  0.05879616 0.01425686 0.00345699 0.00083825],HARQ
39.81072,1,0,[1.0057915 1.0238739 1.0157056 1.0099336 1.0119466],HARQ
15.848933,1,0,[1.4612808 2.1353402 3.120331  4.5596833 6.6629806],HARQ
158.48933,1,0,[0.3683881  0.16426729 0.06179726 0.02101662 0.00680265],HARQ
15.848933,1,0,[1.4612808 2.1977952 3.1971045 4.6332397 6.74705  ],HARQ
39.81072,1,0,[1.0057917 1.0092771 1.0113046 1.016769  1.0235523],HARQ
100.0,1,0,[0.54272705 0.2931315  0.15881376 0.08620847 0.04680666],HARQ
158.48933,1,0,[0.3683881  0.13570976 0.04999385 0.01841714 0.00678465],HARQ
15.848933,1,0,[ 1.4612808  2.95269    5.0460143  7.687676  10.93629  ],HARQ
25.118862,1,0,[ 1.2326353  2.9787054  5.6570253  8.858767  12.055662 ],HARQ
25.118862,1,0,[1.2326353 2.5316086 4.18871   5.8796463 7.372449 ],HARQ
15.848933,1,0,[1.4612808 2.1359386 3.1186838 4.5585566 6.6643977],HARQ
100.0,1,0,[0.54272705 0.3451707  0.18909478 0.09537318 0.04644291],HARQ
63.095726,1,0,[0.76284325 0.5825969  0.43699422 0.32983148 0.25100145],HARQ
39.81072,1,0,[1.0057917 1.0114473 1.0173061 1.0232036 1.0291317],HARQ
25.118862,1,0,[1.232635  1.5188594 1.8721888 2.307798  2.844714 ],HARQ
63.095726,1,0,[0.7628434  0.58193004 0.4439215  0.33864263 0.25833127],HARQ
15.848933,1,0,[  1.4612808   8.394703   36.183044  120.94689   329.7351   ],HARQ
251.1887,1,0,[0.24247932 0.10487425 0.03457717 0.00925938 0.00213839],HARQ
63.095726,1,0,[0.76284325 0.57969147 0.44150746 0.33686617 0.25708336],HARQ
