PDB,Epoch,Step,Pout,Lagr,L_p,L_d,Model
10.0,0,0,2.419731855392456,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,2.9275550842285156,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,2.361298084259033,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
39.81071853637695,0,0,1.4284266233444214,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
15.848933219909668,0,0,0.6912819147109985,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,2.419731855392456,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
63.095726013183594,0,0,15.693120956420898,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,52.4128303527832,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
15.848933219909668,0,0,103.02426147460938,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,132.62049865722656,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
15.848933219909668,0,0,1.8551591634750366,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
15.848933219909668,0,0,1.9330476522445679,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
100.0,0,0,1.2303805351257324,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,0.5638828873634338,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
251.18870544433594,0,0,0.2043871432542801,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,1.508513331413269,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
251.18870544433594,0,0,1.1369158029556274,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,0.571628987789154,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
100.0,0,0,0.21559713780879974,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
63.095726013183594,0,0,0.06504998356103897,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
251.18870544433594,0,0,2.1461329460144043,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
63.095726013183594,0,0,2.3029439449310303,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
158.4893341064453,0,0,1.6474741697311401,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,0.8839244246482849,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,0.3794037699699402,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
39.81071853637695,0,0,2.419731855392456,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
100.0,0,0,14.18676471710205,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
63.095726013183594,0,0,42.972721099853516,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
15.848933219909668,0,0,76.93926239013672,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,90.62159729003906,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,1.1040257215499878,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
251.18870544433594,0,0,1.1042667627334595,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,0.5748071074485779,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,0.18490904569625854,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
39.81071853637695,0,0,0.04143623262643814,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
63.095726013183594,0,0,1.8551589250564575,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,1.7207947969436646,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,1.0641167163848877,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,0.4935266077518463,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
15.848933219909668,0,0,0.18311403691768646,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
39.81071853637695,0,0,2.1461329460144043,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
15.848933219909668,0,0,2.302978038787842,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,1.64751398563385,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
158.4893341064453,0,0,0.883949875831604,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
251.18870544433594,0,0,0.3794153034687042,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
10.0,0,0,1.8551591634750366,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
63.095726013183594,0,0,1.7206692695617676,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,1.064049482345581,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
25.11886215209961,0,0,0.4935013949871063,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
15.848933219909668,0,0,0.18310552835464478,-35.22812271118164,0.371673047542572,-35.599796295166016,HARQ-CC
251.18870544433594,1,0,0.2472478598356247,-74.00727081298828,0.12783002853393555,-74.13510131835938,HARQ-CC
