bar_p,pout
10,2.458019480400253e-06
12,9.382547432323918e-07
14,4.0398680312137003e-07
16,1.901758253097796e-07
18,8.796293826662804e-08
20,3.483415156324554e-08
22,1.0850738973999796e-08
24,2.596272752342088e-09
