rho,pout
0.0,3.31933520669736e-08
0.1,3.319327035455899e-08
0.2,3.319142649615969e-08
0.3,3.317354568821429e-08
0.4,3.3098388030339265e-08
0.5,3.287166805421293e-08
0.6,3.221438404921173e-08
0.7,3.08153573769232e-08
0.8,3.225561329145421e-08
0.9,7.582170269415656e-08
0.92,1.2242344382684678e-07
0.94,2.5396940372957033e-07
0.96,8.384056968679943e-07
0.98,8.69808081915835e-06
