bar_p,pout
10,3.2172363717108965e-05
12,1.2864862583228387e-05
14,5.8253849601896945e-06
16,2.8661208943958627e-06
18,1.3670799035025993e-06
20,5.565084961745015e-07
22,1.8122577216672653e-07
24,4.6221906302434945e-08
