rho,pout
0.0,4.106265805603471e-06
0.1,4.106257165403804e-06
0.2,4.10603479394922e-06
0.3,4.103871560801053e-06
0.4,4.094763880857499e-06
0.5,4.0672625800652895e-06
0.6,3.98711836169241e-06
0.7,3.813572220678907e-06
0.8,3.978229869971983e-06
0.9,9.276070159103256e-06
0.92,1.4948892385291401e-05
0.94,3.095209103776142e-05
0.96,0.0001019828487187624
0.98,0.001056009903550148
