bar_p,pout
10,3.9700759657534945e-07
12,1.3730515036058932e-07
14,5.202563713169184e-08
16,2.0828741398304373e-08
18,7.885799568896346e-09
20,2.460636139289818e-09
22,5.954319259870999e-10
24,1.1396871640867445e-10
