rho,pout
0.0,8.002646723070939e-07
0.1,8.002627964742715e-07
0.2,8.002128879525117e-07
0.3,7.997286957106553e-07
0.4,7.976631763995101e-07
0.5,7.91331672189699e-07
0.6,7.729832418590377e-07
0.7,7.340373144870682e-07
0.8,7.619538564540562e-07
0.9,1.784719870556728e-06
0.92,2.8811632546421606e-06
0.94,5.9766980484710075e-06
0.96,1.9731038264581002e-05
0.98,0.00020472219330258667
